Pos.x [m];Pos.y [m];Pos.z [m];Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];Type;Press [Pa];Mk;
  6.3499999E+00;  1.0000000E+00;  3.0000001E-01;98;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0086914E+03;0;  1.1377385E+04;11;
  6.4000001E+00;  1.0000000E+00;  2.5000000E-01;99;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0014241E+03;0;  1.8238967E+03;11;
  6.4000001E+00;  1.0000000E+00;  3.0000001E-01;100;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0110643E+03;0;  1.4587356E+04;11;
  6.4499998E+00;  1.0000000E+00;  3.0000001E-01;101;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0096359E+03;0;  1.2649612E+04;11;
  6.5000000E+00;  1.0000000E+00;  3.0000001E-01;102;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0119635E+03;0;  1.5815687E+04;11;
  6.5500002E+00;  1.0000000E+00;  3.0000001E-01;103;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0102466E+03;0;  1.3476170E+04;11;
  6.5999999E+00;  1.0000000E+00;  3.0000001E-01;104;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0076878E+03;0;  1.0033298E+04;11;
  6.5999999E+00;  1.0000000E+00;  3.4999999E-01;105;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0087311E+03;0;  1.1430682E+04;11;
  6.6500001E+00;  1.0000000E+00;  3.0000001E-01;106;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0012978E+03;0;  1.6615300E+03;11;
  6.6500001E+00;  1.0000000E+00;  3.4999999E-01;107;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0097418E+03;0;  1.2792705E+04;11;
  6.6999998E+00;  1.0000000E+00;  3.4999999E-01;108;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0098685E+03;0;  1.2964040E+04;11;
  6.7500000E+00;  1.0000000E+00;  3.4999999E-01;109;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0112210E+03;0;  1.4800986E+04;11;
  6.8000002E+00;  1.0000000E+00;  3.4999999E-01;110;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0099287E+03;0;  1.3045543E+04;11;
  6.8499999E+00;  1.0000000E+00;  3.4999999E-01;111;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0074977E+03;0;  9.7796553E+03;11;
  6.9000001E+00;  1.0000000E+00;  3.4999999E-01;113;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0012391E+03;0;  1.5860781E+03;11;
  3.3499999E+00;  1.0000000E+00;  4.0000001E-01;405;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.3499999E+00;  1.0000000E+00;  4.4999999E-01;406;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  4.0000001E-01;454;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  4.4999999E-01;455;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4500000E+00;  1.0000000E+00;  4.0000001E-01;503;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0004026E+03;3;  5.1411890E+02;21;
  3.4500000E+00;  1.0000000E+00;  4.4999999E-01;504;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0004622E+03;3;  5.9028625E+02;21;
  3.5000000E+00;  1.0000000E+00;  4.0000001E-01;552;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0067435E+03;3;  8.7759766E+03;21;
  3.5000000E+00;  1.0000000E+00;  4.4999999E-01;553;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0068862E+03;3;  8.9655312E+03;21;
  6.8499999E+00;  1.0000000E+00;  4.0000001E-01;112;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0080778E+03;0;  1.0554677E+04;11;
  6.9000001E+00;  1.0000000E+00;  4.0000001E-01;114;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0094608E+03;0;  1.2413191E+04;11;
  6.9499998E+00;  1.0000000E+00;  4.0000001E-01;115;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0094937E+03;0;  1.2457590E+04;11;
  7.0000000E+00;  1.0000000E+00;  4.0000001E-01;116;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0107264E+03;0;  1.4127579E+04;11;
  7.0500002E+00;  1.0000000E+00;  4.0000001E-01;117;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0095519E+03;0;  1.2536192E+04;11;
  7.0999999E+00;  1.0000000E+00;  4.0000001E-01;118;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0071028E+03;0;  9.2535771E+03;11;
  7.0999999E+00;  1.0000000E+00;  4.4999999E-01;119;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0079148E+03;0;  1.0336595E+04;11;
  7.1500001E+00;  1.0000000E+00;  4.0000001E-01;120;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0011740E+03;0;  1.5025001E+03;11;
  7.1500001E+00;  1.0000000E+00;  4.4999999E-01;121;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0088267E+03;0;  1.1559140E+04;11;
  7.1999998E+00;  1.0000000E+00;  4.4999999E-01;122;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0093700E+03;0;  1.2290752E+04;11;
  7.2500000E+00;  1.0000000E+00;  4.4999999E-01;123;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0100742E+03;0;  1.3242527E+04;11;
  7.3000002E+00;  1.0000000E+00;  4.4999999E-01;124;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0092382E+03;0;  1.2113097E+04;11;
  7.3499999E+00;  1.0000000E+00;  4.4999999E-01;125;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0067734E+03;0;  8.8156904E+03;11;
  7.4000001E+00;  1.0000000E+00;  4.4999999E-01;127;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0011117E+03;0;  1.4224808E+03;11;
  3.3499999E+00;  1.0000000E+00;  5.0000000E-01;407;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.3499999E+00;  1.0000000E+00;  5.5000001E-01;408;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.3499999E+00;  1.0000000E+00;  6.0000002E-01;409;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  5.0000000E-01;456;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  5.5000001E-01;457;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4000001E+00;  1.0000000E+00;  6.0000002E-01;458;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;3;  0.0000000E+00;21;
  3.4500000E+00;  1.0000000E+00;  5.0000000E-01;505;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0003248E+03;3;  4.1458047E+02;21;
  3.4500000E+00;  1.0000000E+00;  5.5000001E-01;506;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0003469E+03;3;  4.4281470E+02;21;
  3.4500000E+00;  1.0000000E+00;  6.0000002E-01;507;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0002828E+03;3;  3.6093015E+02;21;
  3.5000000E+00;  1.0000000E+00;  5.0000000E-01;554;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0061240E+03;3;  7.9548452E+03;21;
  3.5000000E+00;  1.0000000E+00;  5.5000001E-01;555;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0059529E+03;3;  7.7287207E+03;21;
  3.5000000E+00;  1.0000000E+00;  6.0000002E-01;556;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0055177E+03;3;  7.1542798E+03;21;
  7.3499999E+00;  1.0000000E+00;  5.0000000E-01;126;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0074648E+03;0;  9.7357822E+03;11;
  7.4000001E+00;  1.0000000E+00;  5.0000000E-01;128;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0083346E+03;0;  1.0898600E+04;11;
